,City,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,86.63,1.0,47.0,5.01,US,1626665934.0
1,terrace bay,48.7834,-87.1,60.42,69.0,79.0,3.18,CA,1626666054.0
2,mataura,-46.1927,168.8643,45.48,82.0,86.0,2.3,NZ,1626665918.0
3,barrow,71.2906,-156.7887,46.42,75.0,81.0,12.66,US,1626665743.0
4,norman wells,65.282,-126.8329,77.04,40.0,50.0,18.41,CA,1626665945.0
5,dikson,73.5069,80.5464,36.1,56.0,90.0,8.37,RU,1626665902.0
6,puerto ayora,-0.7393,-90.3518,71.55,77.0,95.0,5.01,EC,1626665905.0
7,mahebourg,-20.4081,57.7,68.25,40.0,94.0,3.44,MU,1626665993.0
8,east london,-33.0153,27.9116,59.94,0.0,29.0,12.66,ZA,1626665802.0
9,mys shmidta,-17.9833,-67.15,40.48,0.0,77.0,5.7,BO,1626665989.0
10,taolanaro,-26.6481,15.1594,62.37,0.0,43.0,7.0,NA,1626665904.0
11,oruro,66.5606,67.7975,62.55,31.0,64.0,3.24,RU,1626666055.0
12,luderitz,42.6001,-73.9662,67.62,100.0,96.0,4.72,US,1626665907.0
13,aksarka,-34.5322,20.0403,52.29,67.0,87.0,1.14,ZA,1626665653.0
14,albany,-42.8794,147.3294,58.01,75.0,62.0,5.01,AU,1626665669.0
15,bredasdorp,-21.6403,-41.0511,69.4,83.0,91.0,12.01,BR,1626665925.0
16,hobart,-24.7911,-50.0119,32.67,13.0,69.0,5.17,BR,1626665925.0
17,sao joao da barra,65.6145,-37.6368,41.16,86.0,86.0,7.09,GL,1626665917.0
18,samusu,-34.4187,19.2345,55.9,73.0,84.0,9.35,ZA,1626665908.0
19,castro,59.7035,30.7861,64.8,13.0,68.0,7.63,RU,1626665921.0
20,tasiilaq,46.8772,-96.7898,78.78,1.0,59.0,3.0,US,1626666028.0
21,hermanus,-53.15,-70.9167,41.11,0.0,75.0,14.97,CL,1626665902.0
22,nikolskoye,-33.65,115.3333,57.04,100.0,76.0,8.9,AU,1626665945.0
23,fargo,52.3501,-110.2683,64.85,10.0,67.0,7.85,CA,1626666056.0
24,kamenskoye,33.8464,-118.0467,93.02,1.0,56.0,3.0,US,1626665843.0
25,punta arenas,14.3122,121.1114,88.86,100.0,66.0,8.68,PH,1626666056.0
26,busselton,-46.6,168.3333,45.81,42.0,77.0,9.15,NZ,1626665903.0
27,provost,-23.1203,-134.9692,69.71,100.0,69.0,25.93,PF,1626665906.0
28,la palma,25.5559,89.6715,79.54,100.0,90.0,4.88,BD,1626666056.0
29,santa rosa,60.1432,-45.2371,45.68,100.0,99.0,4.38,GL,1626665927.0
30,bluff,57.8,158.6667,54.01,100.0,97.0,5.37,RU,1626665944.0
31,rikitea,-14.9003,50.2788,68.52,73.0,84.0,6.49,MG,1626666056.0
32,chilmari,-21.35,165.15,73.04,78.0,69.0,7.54,NC,1626666057.0
33,nanortalik,-54.8,-68.3,44.26,40.0,65.0,25.32,AR,1626665758.0
34,tigil,-37.6167,-73.65,48.25,68.0,72.0,14.99,CL,1626665903.0
35,antalaha,-0.8833,131.25,80.85,100.0,77.0,1.34,ID,1626666057.0
36,poya,-33.5906,26.891,61.48,0.0,32.0,11.63,ZA,1626665925.0
37,ushuaia,63.7506,-68.5145,42.53,90.0,70.0,4.0,CA,1626665936.0
38,lebu,22.2855,114.1577,84.25,100.0,90.0,3.0,HK,1626665650.0
39,sorong,60.7333,77.5889,66.18,17.0,54.0,5.08,RU,1626665968.0
40,port alfred,47.4411,-70.4986,68.13,91.0,80.0,7.0,CA,1626665938.0
41,iqaluit,30.9743,72.4827,101.34,21.0,38.0,14.58,PK,1626666057.0
42,victoria,-15.1961,12.1522,66.45,1.0,86.0,5.17,AO,1626665918.0
43,strezhevoy,38.421,-121.4238,94.82,1.0,30.0,8.05,US,1626666058.0
44,baie-saint-paul,42.097,-79.2353,67.64,1.0,90.0,1.99,US,1626665684.0
45,toba tek singh,34.6391,-120.4579,73.78,1.0,87.0,9.22,US,1626665911.0
46,namibe,24.6877,46.7219,87.94,22.0,54.0,2.1,SA,1626665974.0
47,laguna,-2.635,115.2274,92.28,100.0,51.0,0.87,ID,1626666058.0
48,jamestown,38.5167,-28.7,69.08,51.0,79.0,15.12,PT,1626665906.0
49,lompoc,67.4667,86.5833,57.13,39.0,51.0,5.3,RU,1626666058.0
50,riyadh,-33.9258,18.4232,56.12,0.0,95.0,4.61,ZA,1626665905.0
51,saleaula,50.1167,139.15,83.66,62.0,37.0,8.48,RU,1626666059.0
52,tabat,54.7183,135.315,78.98,74.0,40.0,6.15,RU,1626666059.0
53,ribeira grande,64.5011,-165.4064,62.17,1.0,67.0,6.91,US,1626665983.0
54,sentyabrskiy,50.877,18.4209,64.71,0.0,84.0,5.17,PL,1626666059.0
55,igarka,40.1629,-8.3327,62.92,100.0,86.0,4.85,PT,1626665958.0
56,cape town,60.7161,-135.0538,77.02,40.0,27.0,13.8,CA,1626666059.0
57,vysokogornyy,-41.45,147.1667,56.61,75.0,74.0,5.01,AU,1626666060.0
